Solution #, n, T, alpha, beta, l_0
211, 1.500000, 440.972367, 0.464844, 0.535156, -0.000244
212, 1.500000, 440.972367, 0.464600, 0.535400, -0.000244
213, 1.500000, 440.972367, 0.464355, 0.535645, -0.000244
214, 1.500000, 440.972367, 0.464111, 0.535889, -0.000244
215, 1.500000, 440.972367, 0.463867, 0.536133, -0.000244
216, 1.500000, 440.972367, 0.463623, 0.536377, -0.000244
217, 1.500000, 440.972367, 0.463379, 0.536621, -0.000244
218, 1.500000, 440.972367, 0.463135, 0.536865, -0.000244
219, 1.500000, 440.972367, 0.462891, 0.537109, -0.000244
220, 1.500000, 440.972367, 0.462646, 0.537354, -0.000244
221, 1.500000, 440.972367, 0.462402, 0.537598, -0.000244
222, 1.500000, 440.972367, 0.462158, 0.537842, -0.000244
223, 1.500000, 440.972367, 0.462646, 0.537354, -0.000488
224, 1.500000, 440.972367, 0.462402, 0.537598, -0.000488
225, 1.500000, 440.972367, 0.462158, 0.537842, -0.000488
226, 1.500000, 440.972367, 0.461914, 0.538086, -0.000488
227, 1.500000, 440.972367, 0.461670, 0.538330, -0.000488
228, 1.500000, 440.972367, 0.461426, 0.538574, -0.000488
229, 1.500000, 440.972367, 0.461182, 0.538818, -0.000488
230, 1.500000, 440.972367, 0.460938, 0.539062, -0.000488
231, 1.600000, 453.893844, -0.056641, 0.943359, -0.107422
232, 1.600000, 453.893844, -0.056641, 0.943359, -0.107178
233, 1.600000, 453.893844, -0.056396, 0.943604, -0.106934
234, 1.600000, 453.893844, 0.462158, 0.537842, -0.000244
235, 1.600000, 453.893844, 0.462402, 0.537598, -0.000244
236, 1.600000, 453.893844, 0.462646, 0.537354, -0.000244
237, 1.600000, 453.893844, 0.462891, 0.537109, -0.000244
238, 1.600000, 453.893844, 0.463135, 0.536865, -0.000244
239, 1.600000, 453.893844, 0.463379, 0.536621, -0.000244
240, 1.600000, 453.893844, 0.463623, 0.536377, -0.000244
241, 1.600000, 453.893844, 0.463867, 0.536133, -0.000244
242, 1.600000, 453.893844, 0.464111, 0.535889, -0.000244
243, 1.600000, 453.893844, 0.464355, 0.535645, -0.000244
244, 1.600000, 453.893844, 0.464600, 0.535400, -0.000244
245, 1.600000, 453.893844, 0.464844, 0.535156, -0.000244
246, 1.600000, 453.893844, 0.463623, 0.536377, 0.000000
247, 1.600000, 453.893844, 0.463867, 0.536133, 0.000000
248, 1.600000, 453.893844, 0.464111, 0.535889, 0.000000
249, 1.600000, 453.893844, 0.464355, 0.535645, 0.000000
250, 1.600000, 453.893844, 0.464600, 0.535400, 0.000000
251, 1.600000, 453.893844, 0.464844, 0.535156, 0.000000
252, 1.600000, 453.893844, 0.465088, 0.534912, 0.000000
253, 1.600000, 453.893844, 0.465332, 0.534668, 0.000000
254, 1.600000, 453.893844, 0.465576, 0.534424, 0.000000
255, 1.600000, 453.893844, 0.465820, 0.534180, 0.000000
256, 1.600000, 453.893844, 0.466064, 0.533936, 0.000000
257, 1.600000, 453.893844, 0.939209, -0.060791, 0.112793
258, 1.600000, 453.893844, 0.939209, -0.060791, 0.112549
259, 1.600000, 453.893844, 0.939453, -0.060547, 0.112305
260, 1.600000, 453.893844, 0.466064, 0.533936, -0.000000
261, 1.600000, 453.893844, 0.465820, 0.534180, -0.000000
262, 1.600000, 453.893844, 0.465576, 0.534424, -0.000000
263, 1.600000, 453.893844, 0.465332, 0.534668, -0.000000
264, 1.600000, 453.893844, 0.465088, 0.534912, -0.000000
265, 1.600000, 453.893844, 0.464844, 0.535156, -0.000000
266, 1.600000, 453.893844, 0.464600, 0.535400, -0.000000
267, 1.600000, 453.893844, 0.464355, 0.535645, -0.000000
268, 1.600000, 453.893844, 0.464111, 0.535889, -0.000000
269, 1.600000, 453.893844, 0.463867, 0.536133, -0.000000
270, 1.600000, 453.893844, 0.463623, 0.536377, -0.000000
271, 1.600000, 453.893844, 0.464844, 0.535156, -0.000244
272, 1.600000, 453.893844, 0.464600, 0.535400, -0.000244
273, 1.600000, 453.893844, 0.464355, 0.535645, -0.000244
274, 1.600000, 453.893844, 0.464111, 0.535889, -0.000244
275, 1.600000, 453.893844, 0.463867, 0.536133, -0.000244
276, 1.600000, 453.893844, 0.463623, 0.536377, -0.000244
277, 1.600000, 453.893844, 0.463379, 0.536621, -0.000244
278, 1.600000, 453.893844, 0.463135, 0.536865, -0.000244
279, 1.600000, 453.893844, 0.462891, 0.537109, -0.000244
280, 1.600000, 453.893844, 0.462646, 0.537354, -0.000244
281, 1.600000, 453.893844, 0.462402, 0.537598, -0.000244
282, 1.600000, 453.893844, 0.462158, 0.537842, -0.000244
283, 1.700000, 465.609220, -0.057373, 0.942627, -0.107422
284, 1.700000, 465.609220, -0.057373, 0.942627, -0.107178
285, 1.700000, 465.609220, -0.057129, 0.942871, -0.106934
286, 1.700000, 465.609220, 0.462158, 0.537842, -0.000244
287, 1.700000, 465.609220, 0.462402, 0.537598, -0.000244
288, 1.700000, 465.609220, 0.462646, 0.537354, -0.000244
289, 1.700000, 465.609220, 0.462891, 0.537109, -0.000244
290, 1.700000, 465.609220, 0.463135, 0.536865, -0.000244
291, 1.700000, 465.609220, 0.463379, 0.536621, -0.000244
292, 1.700000, 465.609220, 0.463623, 0.536377, -0.000244
293, 1.700000, 465.609220, 0.463867, 0.536133, -0.000244
294, 1.700000, 465.609220, 0.464111, 0.535889, -0.000244
295, 1.700000, 465.609220, 0.464355, 0.535645, -0.000244
296, 1.700000, 465.609220, 0.464600, 0.535400, -0.000244
297, 1.700000, 465.609220, 0.464844, 0.535156, -0.000244
298, 1.700000, 465.609220, 0.463623, 0.536377, 0.000000
299, 1.700000, 465.609220, 0.463867, 0.536133, 0.000000
300, 1.700000, 465.609220, 0.464111, 0.535889, 0.000000
301, 1.700000, 465.609220, 0.464355, 0.535645, 0.000000
302, 1.700000, 465.609220, 0.464600, 0.535400, 0.000000
303, 1.700000, 465.609220, 0.464844, 0.535156, 0.000000
304, 1.700000, 465.609220, 0.465088, 0.534912, 0.000000
305, 1.700000, 465.609220, 0.465332, 0.534668, 0.000000
306, 1.700000, 465.609220, 0.465576, 0.534424, 0.000000
307, 1.700000, 465.609220, 0.465820, 0.534180, 0.000000
308, 1.700000, 465.609220, 0.466064, 0.533936, 0.000000
309, 1.700000, 465.609220, 0.938721, -0.061279, 0.112305
310, 1.700000, 465.609220, 0.938965, -0.061035, 0.112061
311, 1.700000, 465.609220, 0.938965, -0.061035, 0.111816
312, 1.700000, 465.609220, 0.466064, 0.533936, -0.000000
313, 1.700000, 465.609220, 0.465820, 0.534180, -0.000000
314, 1.700000, 465.609220, 0.465576, 0.534424, -0.000000
315, 1.700000, 465.609220, 0.465332, 0.534668, -0.000000
316, 1.700000, 465.609220, 0.465088, 0.534912, -0.000000
317, 1.700000, 465.609220, 0.464844, 0.535156, -0.000000
318, 1.700000, 465.609220, 0.464600, 0.535400, -0.000000
319, 1.700000, 465.609220, 0.464355, 0.535645, -0.000000
320, 1.700000, 465.609220, 0.464111, 0.535889, -0.000000
321, 1.700000, 465.609220, 0.463867, 0.536133, -0.000000
322, 1.700000, 465.609220, 0.463623, 0.536377, -0.000000
323, 1.700000, 465.609220, 0.464844, 0.535156, -0.000244
324, 1.700000, 465.609220, 0.464600, 0.535400, -0.000244
325, 1.700000, 465.609220, 0.464355, 0.535645, -0.000244
326, 1.700000, 465.609220, 0.464111, 0.535889, -0.000244
